a, b
3.9, -4.107395295729989
3.903030303030303, -4.108903452234348
3.906060606060606, -4.110368446774854
3.909090909090909, -4.111764083776057
3.912121212121212, -4.113104073683313
3.915151515151515, -4.1144128740208705
3.918181818181818, -4.115642966508443
3.921212121212121, -4.11681884885634
3.9242424242424243, -4.117945149661347
3.9272727272727272, -4.119013301237164
3.93030303030303, -4.120046436339689
3.933333333333333, -4.121008998569181
3.9363636363636365, -4.121918665767718
3.9393939393939394, -4.122815134900541
3.9424242424242424, -4.123621791112297
3.9454545454545453, -4.124384523555058
3.9484848484848483, -4.125089324150291
3.9515151515151516, -4.125743757438338
3.9545454545454546, -4.126361206334283
3.9575757575757575, -4.126916158061339
3.9606060606060605, -4.1274219112803285
3.9636363636363634, -4.127885991000165
3.966666666666667, -4.128294608682045
3.9696969696969697, -4.128664849104314
3.9727272727272727, -4.12897789831177
3.9757575757575756, -4.12924367222742
3.9787878787878785, -4.12948175915153
3.981818181818182, -4.129654196215646
3.984848484848485, -4.129780480432601
3.987878787878788, -4.129880239883195
3.9909090909090907, -4.129915284708748
3.993939393939394, -4.129915285307316
3.996969696969697, -4.129860701592715
4.0, -4.129761799180899
4.003030303030303, -4.1296333476839635
4.006060606060606, -4.12944186729007
4.009090909090909, -4.129232059917061
4.012121212121212, -4.128959660303692
4.015151515151516, -4.12864472836896
4.0181818181818185, -4.128298152595833
4.0212121212121215, -4.127899261704144
4.024242424242424, -4.127468466992907
4.027272727272727, -4.126987063663496
4.03030303030303, -4.126464868857961
4.033333333333333, -4.125929016402503
4.036363636363636, -4.1253263786107786
4.039393939393939, -4.124683972882833
4.042424242424242, -4.12401145825346
4.045454545454546, -4.123290597286005
4.048484848484849, -4.122545823965184
4.051515151515152, -4.1217478434108425
4.054545454545455, -4.120911769402706
4.057575757575758, -4.120066787955623
4.0606060606060606, -4.119155711538317
4.0636363636363635, -4.11822136701096
4.066666666666666, -4.117236489101463
4.069696969696969, -4.116215150288927
4.072727272727273, -4.11517242741867
4.075757575757576, -4.114079217201589
4.078787878787879, -4.112972431679719
4.081818181818182, -4.111808715312342
4.084848484848485, -4.110610125991969
4.087878787878788, -4.109392288081845
4.090909090909091, -4.108125025851815
4.093939393939394, -4.106831076195272
4.096969696969697, -4.10549624770988
4.1, -4.104109249187742
4.1030303030303035, -4.102718548503601
4.106060606060606, -4.101284410743442
4.109090909090909, -4.0998312687046905
4.112121212121212, -4.098332744318974
4.115151515151515, -4.096802427959481
4.118181818181818, -4.095248478620335
4.121212121212121, -4.093655555231726
4.124242424242424, -4.092044266352045
4.127272727272727, -4.09038994812202
4.130303030303031, -4.088668198909063
4.133333333333334, -4.086960044511417
4.136363636363637, -4.085215024290463
4.13939393939394, -4.083459500347141
4.142424242424243, -4.081656059713095
4.1454545454545455, -4.079823767476437
4.148484848484848, -4.077977694896689
4.151515151515151, -4.076088629479892
4.154545454545454, -4.074177069029643
4.157575757575758, -4.0722323493819195
4.160606060606061, -4.070260195679446
4.163636363636364, -4.068281727524338
4.166666666666667, -4.066255677132615
4.16969696969697, -4.064237585548123
4.172727272727273, -4.062158874414503
4.175757575757576, -4.060054113656736
4.178787878787879, -4.057930243498009
4.181818181818182, -4.05577427617252
4.184848484848485, -4.05361464603956
4.187878787878788, -4.051408611207845
4.190909090909091, -4.04917787967949
4.193939393939394, -4.046937045208656
4.196969696969697, -4.044657852481694
4.2, -4.042361840866066
